Likes,Dislikes,Subscribers
104460,3365,7300000
103203,3570,3300000
22485,612,1800000
23077,1337,465000
12315,522,11000000
138716,4417,11000000
10505,496,1600000
48917,1633,4100000
56590,1004,3000000
3531,340,157000
9842,253,3100000
10919,413,4000000
316492,7384,19000000
37102,680,1800000
33876,785,6300000
16021,4595,461000
42473,13161,391000
180665,12626,159000
12086,178,2900000
14913,962,34000
59184,2214,35000
17374,924,21000
66196,4706,459000
17507,337,570000
26379,2915,10000000
26853,10735,324000
89628,5481,1600000
17374,924,21000
101468,5726,13000000
14393,2200,13000000
44160,2312,3400000
84551,5561,6600000
24936,598,18000000
68359,2709,10000
18451,651,5200000
31213,460,29000000
12058,1846,2500000
60523,2623,540000
54641,31290,2500000
38866,2991,696000
111667,47179,10000000
130616,21280,41000000
22557,663,7800000
81060,3386,17000
76285,3138,3000000
70522,1376,11000000
10307,2017,997000
22526,348,11000000
58956,1611,3200000
53424,1791,11000000
101140,1608,2700000
33271,8307,1300000
118817,16451,45000
129861,42420,41000000
87943,31917,1300000
128751,13601,41000000
60818,2359,12000000
54338,4002,41000000
90734,5705,41000000
583768,54876,7600000
17453,346,1500000
13167,394,8400000
18208,1459,683000
10423,207,1400000
45957,12382,358000
13295,458,10000000
6536,1065,720000
15501,457,2200000
19963,313,625000
1336,152,509000
345956,4832,11000000
68697,2084,7300000
71947,13079,256000
56115,5145,324000
28406,4855,1300000
159603,121603,0
81062,3386,17000
76285,3138,3000000
70526,1377,11000000
20661,496,2800000
58956,1611,3200000
53425,1791,11000000
190424,1791,19000000
52,11,3300
1949356,26470,22000000
21021,3375,0
402729,23890,2900000
6947127,512981,4000000
596,23,282000
4774195,634053,5400000
4773941,160960,3000000
5271431,341851,7500000
2846199,165396,5500000
1931573,119599,1400000
261491,10825,23000000
1846527,117401,2700000
146739,25449,8200000
14686,766,0
8893670,329811,16000000
98399,6409,279000
59,31,12000
13850,1349,274000
4248,195,461000
795,6,79000
107,15,566000
55,2,271000
148,3,566000
36,2,566000
20,3,413000
195,6,566000
323,13,271000
133,14,566000
680,33,566000
130,3,566000
25238,1508,457000
417,18,1400000
41,3,1000000
3980,545,67000
498,30,1400000
1255,63,471000
2405,295,274000
511,131,477000
2370,312,274000
8992,774,274000
14403,3320,472000
13271,1763,11000
66196,4706,459000
22767,4695,274000
5775,546,274000
707,44,1400000
48,2,754000
5,0,109000
1591,68,483000
5,1,98000
4743,399,19000000
13241,188,270000
13270,357,3400000
56595,2494,7400000
2822,47,389000
987,50,1000000
38018,3756,270000
5186,594,138000
193402,12533,13000000
67297,2300,10000000
15499,584,3400000
31005,3766,265000
29982,6812,1100000
21629,2228,70000
60491,6842,265000
17600,319,4000000
3211,142,33000
19394,451,459000
8627,259,354000
1532,228,70000000
930,188,70000000
347,52,70000000
2917,378,53000
5154,995,0
475,20,1500000
85,14,301000
9029,362,2700
10352,1651,0
151,84,5900
4120,238,3000
12634,2129,31000
1450,153,0
5415,1346,8900
5423,593,17000000
10509,1433,0
8925,1510,0
25898,9946,0
472,56,21000
20673,3090,0
935,268,0
5530,286,35000
7188,331,487000
1769,209,20000000
579,47,401000
1186,211,28000
2163,102,0
11553,4866,5300000
2522,205,10000
32145,6988,5300000
40710,8916,750000
27996,2273,487000
33,1,1700
20515,1357,487000
1809,308,52000
22453,4164,243000
2251,158,19000000
4577,295,487000
304,121,51000
1601,477,5300000
955,85,3400000
19,37,336000
15,6,98000
868,169,5300000
18,58,98000
60,8,558000
534,182,5300000
28,3,1000000
58,28,4800000
255,23,958000
41,11,958000
265,93,3400000
134,190,3400000
787,32,2100000
278,25,4800000
3,4,1300000
1992,147,2100000
391,41,2100000
77,4,4400000
132,5,1000000
2572,165,2100000
257,13,4400000
92,4,4400000
101,85,2100000
392,77,958000
215,11,4400000
1583,250,870000
510,62,822000
6981,202,7700000
32976,2669,36000000
223,50,523000
21195,1305,36000000
11183,390,36000000
9975,15201,7100000
9179,151,7700000
1738,92,646000
2932,196,646000
8063,353,639000
7816,96,143000
307,42,668000
850,3,60000
649,128,1000000
12503,357,459000
1150115,29272,22000000
23501,1176,90000
37021,930,345000
512125,10470,22000000
163157,6350,452000
12586,467,2100000
133,9,455000
1100,14,38000
1310,9,2100000
592,10,177000
41,0,35000
27,4,0
1447948,31286,3400000
795978,16165,3400000
589041,11070,3400000
7080,144,26000
17114,542,543000
4018,50,2000000
46353,1832,2200000
47,1,47000
128,28,72000
165,94,5300000
76,13,1300000
240,67,5300000
68,26,1300000
39,6,413000
746,381,5300000
649,57,2100000
16,31,921000
32,6,634000
3449,72,611000
109,8,4400000
9,17,634000
780,12,297000
228,38,8000000
25,3,1000000
2,1,634000
187,2,116000
64,22,979000
696,133,411000
15,6,1500000
223858,14572,79000
161906,7474,1500000
48652,3564,58000
106829,6896,1500000
559,26,58000
7817,112,18000
5408,461,79000
28881,526,8500000
25372,743,1700000
8158,680,17000
4605,97,3600000
5265,274,2100000
104951,9986,96000
2990171,202687,1400000
491699,31306,1400000
59975,8092,13000000
44010,1750,3600000
8052,156,1700000
1927,87,67000
28684,2872,3200000
22475,3500,1100000
1806,22,7000
10108,347,14000
12379,447,139000
28290,2110,1300000
4303,74,7000
581,32,676000
492,39,974000
15163,338,7700
24655,3577,2000000
9276,608,4700000
18321,1585,12000000
27300,2008,4700000
82779,3340,368000
30771,1699,12000
31556,320,6900000
5497,481,63000
13367,781,8900000
35327,2448,8900000
26466,2561,8900000
28220,2435,8900000
22598,1231,8900000
15,2,5000000
415,11,336000
43,3,1000000
23,0,1000000
28,1,1000000
19,1,5000000
15,2,5000000
2822,757,3300000
343,14,3600000
205,8,232000
233,9,98000
100,22,8000000
41,2,5000000
32,5,189000
94,3,336000
152,13,8000000
12,7,37000
16086,8835,20000000
13478,7423,20000000
1362,722,0
917,421,270000
53783,24154,1000000
318411,21609,67000
2751,1529,0
15509,457,2200000
2730,1274,313000
47648,3645,4000000
3620,40,1500000
32527,15823,17000000
897692,531845,17000000
12926,7209,0
3819,835,17000
138,13,155000
29682,17249,1800000
158,34,16000
40,2,785000
16,2,558000
6,1,958000
149,32,4800000
7,1,413000
7,0,77000
9,1,413000
2,0,6800
10,0,558000
3902,266,13000000
56611,1005,3000000
5160,47,2700000
8408,146,4000000
67,10,210000
1059,56,348000
938,27,66000
5206,134,678000
2102,64,874000
2,1,210000
838,13,85000
1702,40,4900000
39,23,210000
6994,54,311000
7789,181,642000
49,33,210000
2891,60,449000
390,11,61000
19428,3015,4700000
2430,439,19000000
33846,2318,57000
1146,40,28000
263,3,198000
23522,599,3000000
3383,140,10000
81914,3278,2700000
1959,93,20000000
58799,1828,334000
52198,10811,4700000
23036,2512,4700000
79878,5511,3000000
5658,520,323000
105711,1392,4000000
5541,160,1300000
15687,1796,20000000
4632,219,198000
136,13,0
53417,623,20000
2455,34,20000
19398,212,4000
5345,795,1200000
126906,3635,79000
6656,82,0
1025,4,4000
149,0,1300
995,15,20000
8594,457,1000000
804,7,20000
30443,522,38000
65695,1068,49000
6664,67,410000
1166,9,0
651,7,389000
53141,1475,79000
3403,22,20000
5043,651,27000
94984,10147,308000
370,6,1200000
57296,4290,308000
8431,73,1200000
69,11,87000
42341,3996,41000000
48142,4089,479000
329,46,364000
4133,991,364000
1430,11,752000
0,0,0
6978,48,249000
1,0,2600
135,11,1700000
1,0,9500
1951,29,76000
559,11,26000
47976,6411,210000
1959,42,41000
1688,10,58000
15126,249,58000
11950,1236,200000
6828,359,6800
1,0,5100
149,6,6100
9,0,0
6034,153,78000
16752,808,111000
171,3,2100
87,4,34000
1098,12,147000
8397,91,58000
5797,153,58000
3226,30,58000
1699,50,78000
299,6,246000
3923,200,127000
10699,665,640000
1683,50,3000000
360615,25440,380000
145382,6810,10000000
101680,4752,2700000
59672,2177,2500000
3014,513,64000
2427,140,18000000
56620,1005,3000000
118159,9463,380000
21640,574,380000
23047,739,380000
992,29,256000
36763,991,6100000
28647,6383,50000
266164,25706,157000
156091,7023,3000000
75328,837,1600000
5889,264,0
1198,52,38000
999,156,11000
12726,2039,828000
83,27,1300
38654,1000,459000
681,9,47000
55313,2159,19000
1415,84,2600
3281,410,15000
21292,994,48000
1920,52,78000
29335,556,957000
2316,53,78000
3359,190,9700
2604,48,134000
7642,329,216000
33178,994,2500000
3896,83,78000
11068,713,137000
6808,100,100000
1476,26,119000
8702,312,27000
209,149,0
88338,5133,13000000
92,16,128000
5475,301,724000
27482,1711,3000000
165,10,636000
224,103,114000
74,8,1000000
56338,2279,208000
136636,5019,7300000
61083,5637,7600000
8747,490,62000
57006,10410,8900000
6100,5552,2300000
569190,37506,1200000
37034,4459,1200000
79098,4011,13000000
70667,3332,13000000
118098,6350,13000000
12806,1123,41000000
37434,3551,3400000
208,22,385000
80482,6322,13000000
816,130,88000
18,2,2900
30636,3453,8400000
18432,2446,1100000
45635,3816,229000
1184,29,5300000
735,22,393000
5379,43,1400000
6782,165,103000
223041,20791,184000
156878,9019,1400000
31533,2132,41000000
58679,8862,4700000
8043,777,41000
10541,880,4700000
268,16,0
29181,1082,626000
4240,41,713000
7116,854,23000
6652,440,344000
104,9,1400
31687,931,713000
18527,688,31000
80660,7465,3500000
1284656,39028,3500000
102515,1542,6400
290682,5071,10000000
6011,494,124000
46693,327,9800
58784,639,6300
27919,94,3900
8425,311,25000
10083,601,1900
420350,17910,3500000
309962,27111,121000
93063,3066,3500000
52029,482,1800000
96418,3124,17000
143886,9383,520000
2023,71,20000
2838,31,261000
16639,1503,4400000
28848,728,213000
6793,118,3400000
745,40,174000
828,24,299000
4021,303,226000
6773,288,171000
159,13,25000
1642,29,534000
17622,2179,41000000
160,4,19000
1369,23,85000
618916,25615,9100000
2425,87,303000
8846,777,700000
61011,4138,984000
3764,59,503000
1741,34,394000
13,4,0
430,57,0
26,4,1000000
36,1,1000000
4,2,240000
110,5,1000000
3660,88,217000
516,10,126000
17988,1404,20000000
13186,170,1600000
72,12,160000
14,0,64000
112940,5151,20000000
3332,157,1800
11911,724,20000000
1293,11,745000
2003,36,17000000
2930,9,90000
13272,929,371000
1082,14,422000
5740,157,20000000
104,76,532000
45,4,160000
273,128,0
18945,188,1500
667,35,282000
3470,139,41000
19075,365,2000000
267,27,1800
545,154,1800000
138,24,22000
14,18,2100
110,17,0
330,0,1500
8860,864,979000
2071,776,5000
71636,828,3500
42019,187,0
83,7,9200
10,3,2900
197,47,282000
235,194,226000
21326,635,929000
63785,4545,197000
16184,675,6900
58833,705,527000
45528,721,726000
20590,1723,286000
39051,1942,892000
3356,131,0
46213,1432,892000
28997,583,1700000
243,8,0
10356,372,929000
5870,173,929000
14467,837,17000
43,2,43000
373,14,1200
4,1,0
2439,22,303000
2648,38,229000
30702,2747,229000
1717,17,84000
1068,20,107000
509,6,856000
14189,309,78000
594,8,198000
579,5,72000
519,6,159000
237,6,93000
47004,1558,159000
237,0,49000
12418,56,339000
293,3,27000
123,0,23000
141,0,3000
1182,46,3000000
24,0,8200
184,70,5800
18972,4036,1600000
61,0,140000
7946,1484,1300000
392,57,5800
2838,473,2100000
5076,817,194000
27889,3466,1300000
29108,1257,361000
69,0,177000
299,3,28000
341,16,18000
33285,8310,1300000
11070,1569,1300000
30691,3944,1300000
8972,1273,1500000
39,1,112000
205,29,305000
3832,566,140000
425,24,7700
20774,2236,9900
18885,2623,139000
135273,7956,12000
1654914,71344,556000
13469,1638,1100000
1882,41,273000
4979,333,3500
1633,252,608000
1901,329,7700
4650,155,139000
21388,5399,66000
45217,2092,7900000
9903,1010,30000
434,8,1100
564546,83230,710000
2407,125,39000
25,5,30000
100061,9834,1000000
9136,452,216000
674,30,271000
1704120,86499,11000000
199403,7580,320000
417202,25697,4800000
83080,4081,140000
514,9,40000
20583,8164,6500000
1534,135,56000
10600,380,17000000
901,31,527000
749,68,56000
2304564,116484,11000000
1621947,78097,11000000
766,140,56000
1246,135,56000
781,110,56000
573,69,577000
33306,570,3000000
15619,302,11000000
127908,8904,7300000
147150,1577,18000000
14689,526,2300000
26339,1253,3200000
14276,359,633000
10096,141,1300000
19600,1951,7600000
23232,1348,466000
39314,996,3000000
90281,21868,150000
97072,2491,11000000
236912,81096,2500000
1507,41,318000
84616,949,10000000
51326,997,3200000
7235,533,2100000
24481,550,633000
76294,3138,3000000
378,117,72000
6349,1973,17000000
7382,2322,2100000
34338,15449,20000000
5,1,77000
13,0,413000
42,5,413000
11,3,413000
10,3,1000000
1412,95,1300000
805,114,1300000
3019,270,1300000
38,14,626000
4989,1615,13000000
220,84,199000
3984,251,10000000
45943,4181,3700000
59108,23852,17000000
21603,6442,17000000
5746,1680,17000000
1063,42,354000
7762,2591,6400000
6133,2212,1300000
14495,5252,17000000
26396,749,593000
2362,118,5300
651,69,10000
5027,157,2100
7437,1075,608000
16297,193,618000
29765,653,8500000
57488,1126,76000
33666,1206,5300000
22544,672,320000
5494,190,1900000
2119,78,0
33,0,3400
36542,1361,4300
27031,1218,1000000
19108,2742,5400000
11020,271,5300000
565,17,1700
379,21,10000
11708,104,1500000
16567,142,1500000
43462,303,1500000
850,21,0
40824,427,1500000
16970,157,1500000
20266,247,1500000
29266,447,1500000
70860,678,1500000
23310,341,1500000
31012,605,1500000
16674,242,1500000
20879,188,1500000
23616,613,90000
1318,26,45000
189,5,0
42568,809,1500000
1,0,36000
32767,8131,39000
2864,398,38000
41,0,38000
5954,92,235000
402,18,33000
3640,322,4300
68,7,38000
3656,94,717000
195,0,13000
63,5,38000
2477,361,38000
18607,4466,32000
181,40,3100
492,62,38000
804,76,1800
1260,166,26000
144,13,38000
384,44,38000
295,15,4300
116362,5029,1300000
26,6,1100
2641,353,426000
98626,7245,763000
28440,2021,1000000
11900,1043,426000
21662,3684,1000000
1805,109,426000
276,10,1000000
216,7,426000
14777,1225,426000
15783,1279,1500000
81,3,426000
6699,201,89000
11924,998,56000
470,23,426000
1146,97,1000000
2623,31,451000
33043,1843,305000
173,3,158000
51659,1175,261000
14399,10012,53000
23,1,30000
395,12,32000
397695,9901,5300000
1837,62,618000
129,140,106000
35575,3787,19000
4117030,256849,23000000
19381,1022,793000
89,6,42000
694,28,82000
7006,2116,3200
6628,336,603000
1751,29,448000
1,0,0
96,35,0
2928574,163956,21000000
306311,87993,2700000
647857,75350,1000000
161381,5900,32000
678,161,7800
386,25,2500000
80634,24857,380000
3965,1377,187000
1541,63,19000000
6566,592,211000
5653943,415208,10000000
3315251,80757,23000000
3006992,147134,19000000
15038,1645,2700000
70333,3731,281000
2114,903,0
36240,7399,326000
331237,64491,1000000
20702,2710,1000000
15712,2796,2700000
1386,220,1000000
160276,16517,797000
47998,709,156000
88755,19835,1000000
60415,8793,2700000
9723,702,339000
10562,3514,0
254965,94519,2400000
604,122,12000
251598,23268,488000
260515,4421,4800000
45551,5146,797000
346604,54034,1600000
5512,40,1200000
177114,15047,125000
13061,1920,2700000
24300,3215,1100000
13694,2635,2700000
35,3,566000
74,5,1000000
17,2,566000
56,0,785000
103,0,1000000
14,0,16000
2,0,16000
14,0,353000
988,76,797000
374673,16397,4900000
1606,151,2500000
66360,5138,339000
46897,5398,1100000
46917,2366,360000
5512,40,1200000
803,49,2700000
44686,1917,797000
78891,1739,1400000
55637,10184,205000
14362,5146,23000
1952,1545,96000
103,13,35000
42899,2684,20000000
192,68,17000
12050,643,339000
1625,161,12000
227352,14251,1500000
48391,2265,67000
4064,91,20000000
223,22,2700000
159112,8109,2700000
139873,38661,191000
120,3,158000
1898,381,966000
217,11,92000
255231,5054,3100000
100,64,69000
397695,9901,5300000
150367,6737,1500000
345678,11055,1500000
225603,7140,11000000
46,2,0
4325,185,83000
3086,585,46000
47408,1162,10000000
55,83,69000
1570035,59844,1700000
28096,1476,17000000
112930,3530,38000
215,4,1300
10855,175,54000
19510,1152,46000
798,47,188000
48962,1001,9800000
6837,485,145000
24641,258,126000
10497,513,11000000
138,6,31000
744650,38265,17000000
432741,11162,8800000
65515,726,2900000
24026,950,62000
47137,1696,138000
9003,109,101000
690,9,10000
12583,297,159000
666,84,657000
20351,255,170000
9805,235,88000
2545,42,7900000
35928,356,7900000
25326,502,6400000
32767,604,482000
64,2,9700
1156,149,0
2050,38,3900
1757,69,0
1010,118,4100
6389,394,10000
4976,255,11000
163288,2336,276000
5008,321,1500000
10,0,109000
28,1,93000
979,28,567000
173,15,4200000
101,12,4200000
5932,260,4200000
737,33,4200000
140,23,4200000
0,1,18000
16865,603,78000
173,15,4200000
202,91,20000
1363,17,312000
47,3,4100000
110,4,15000
101,12,4200000
3911,41,787000
10592,406,78000
763,5,141000
277,13,145000
800,11,124000
758,15,46000
6522,238,528000
156,7,112000
69,5,112000
84,3,20000
144,1,826000
284223,18401,77000
241688,14234,3200000
13606,1410,3200
48547,8256,925000
120343,3418,6600000
12471,183,884000
357815,14905,31000000
46239,2301,16000
676,177,532000
18421,3978,12000000
674,10,1600000
571102,35361,475000
605847,56594,925000
254442,13972,925000
6901,293,1100
1451,55,318000
291003,7607,598000
95179,4482,729000
120758,2076,15000
110338,1400,9800000
20561,421,157000
1680,64,82000
962,101,261000
56079,2057,189000
17676,1825,173000
157732,1950,9800000
1635,66,248000
18573,410,7700000
31506,1778,87000
287039,6453,47000
79667,1308,4500
60416,869,3900
111715,777,9800000
17513,80,248000
6,1,2900
64881,5530,87000
167722,19420,1100000
227,21,1000000
12,6,16000
25,0,786000
61,2,1000000
8,0,16000
145,55,5300000
15,3,1000000
38,6,559000
170195,16963,825000
139232,10065,188000
157155,4686,201000
59370,6188,96000
20679,2230,188000
6279,502,42000
12245,1238,188000
52450,6591,42000
83427,7888,173000
50452,5675,592000
9453,52,5200000
29771,2732,26000
21906,1649,1100000
65761,5911,592000
468,56,13000
14217,466,3700000
6795,120,227000
44149,1088,32000
2663,245,227000
13872,365,11000
523,14,1000000
9325,80,471000
5025,35,562000
321,13,7900
26224,1002,3700000
18996,604,3700000
86442,5133,3700000
57036,5158,18000
2733,124,107000
465,10,16000
700,46,837000
7592,405,43000
3656671,162582,15000000
1573074,45617,4000000
448387,15369,15000000
275250,3470,107000
12675,1046,88000
176,10,273000
303,28,273000
2355651,71843,22000000
811,47,977000
10147,155,469000
355,0,46000
417606,17873,15000000
883362,21023,15000000
98329,1128,1900000
127,6,615000
3261,60,282000
26347,309,3600
150,45,150000
629,13,138000
3786,46,418000
2607,125,2100000
52,20,240000
84,33,523000
1,0,98000
1874,17,524000
5220,47,744000
1190,25,138000
1060,18,44000
861,15,20000
271,4,22000
361,1,110000
1579,30,56000
3652,79,1100000
278,7,40000
957,15,161000
267,0,598000
9772,98,418000
1899,77,533000
4213,157,169000
